"Row Labels","DATA COMMU & COMP NETWORK","DATA STRUCTURE & ALGORITHM","DISCRETE MATH & APPLICATION","ENGLISH I","ENGLISH II","OBJECT-ORIENTED PROGRAM","SYSTEM ANALYSIS & DESIGN","WEB PROGRAMMING","GPA","CLASS"
"6106021612017","-1","-1","2.5","1.5","1.5","-1","2","2","2.27","C"
"6106021612025","4","4","3.5","2.5","2.5","3.5","3.5","4","3.56","A"
"6106021612033","2.5","2.5","3.5","1.5","2","0","3.5","2","2.57","B"
"6106021612041","0","1.5","3","2","2","1.5","2","1","2.26","C"
"6106021612050","1","2","3","2","-1","1","2.5","1","2","C"
"6106021612068","1.5","1.5","3","1","1.5","2","2","1.5","2.31","C"
"6106021612076","2.5","2.5","3","2.5","3","2","3","2","2.68","A"
"6106021612084","3.5","3","3","4","4","2","3","2.5","3.19","A"
"6106021612106","3","2.5","4","2","2.5","2","3.5","1.5","2.86","A"
"6106021612131","-1","-1","2.5","1","1","-1","2.5","1","2.29","C"
"6106021612149","3.5","2.5","3.5","2.5","3","2.5","2.5","4","3.13","A"
"6106021612165","4","4","3.5","2","2.5","3","4","4","3.32","A"
"6106021612181","3","4","4","3","3","3.5","2.5","4","3.47","A"
"6106021612190","2.5","3.5","4","1","1.5","2.5","3","4","2.75","A"
"6106021612203","1.5","3","3.5","2.5","2.5","1.5","3.5","3","2.88","A"
"6106021612211","1.5","1","3","2","2","0","2","1.5","2.28","C"
"6106021620028","3","2.5","3.5","3","3","1.5","4","1.5","3.01","A"
"6106021620036","-1","1.5","3","1","1","1","2.5","2.5","2.33","B"
"6106021620044","3","2.5","2.5","3","2.5","1.5","3","2.5","2.65","A"
"6106021620052","1","1","3.5","3","3","1.5","2.5","1.5","2.15","C"
"6106021620061","-1","-1","2.5","2","1","-1","2.5","1","2.04","C"
"6106021620087","2.5","2.5","3","4","3.5","1","3","2","2.78","A"
"6106021620109","2","2","2","3.5","3.5","0","3","2","2.27","C"
"6106021620117","2","3.5","4","4","3","3","4","4","3.39","A"
"6106021620125","-1","1","2","3.5","3.5","2","3.5","3","2.52","C"
"6106021621024","1.5","0","4","2.5","2","2","3.5","1","2.52","B"
"6106021621041","3","4","4","3","3.5","4","4","4","3.31","A"
"6106021621059","3","3","3.5","2","2.5","2.5","3.5","4","2.98","A"
"6106021621083","0","0","2.5","2","2","1.5","2.5","2","2.17","C"
"6106021621121","2.5","3","4","3.5","4","3.5","3.5","2","3.31","A"
"6106021622012","1.5","1","3","1","2","2","2.5","1.5","2.21","C"
"6106021622039","1.5","2.5","2.5","2.5","-1","2","1.5","3","2.34","C"
"6106021622047","-1","-1","2","1","-1","1","1.5","2","2.2","C"
"6106021622055","-1","-1","2.5","2","-1","-1","2.5","2.5","2.71","C"
"6106021622063","-1","-1","2.5","2","2","-1","1","1.5","2.06","C"
"6106021622071","2.5","3","2.5","2","1.5","1.5","3","3","2.69","A"
"6106021622080","2","2.5","3","1.5","1.5","2","2","4","2.65","A"
"6106021622098","4","4","4","3","3.5","3","3.5","4","3.6","A"
"6106021622101","1","2","3","2","-1","0","2.5","1","2.19","C"
"6106021622128","2.5","2","3","1","2","1","3","1.5","2.34","C"
"6106021622144","-1","-1","2","2","-1","-1","2","1.5","2.16","C"
"6106021630023","2.5","2.5","3.5","2","2","1.5","2.5","1","2.45","B"
"6106021630031","-1","-1","2","2.5","2","0","2.5","1","2.15","C"
"6106021632034","-1","-1","2","2","2","0","2","1","2.05","C"
